panel	target	comparison	display_name	label	source_table	bin_size_bp	pearson_50bp	pearson_100bp	pearson_200bp	pearson_1000bp	plot_order
dropout_ablation	GATA1	early_no_atac_dropout	early no atac dropout	hic2_warmstart_no_atac_dropout/20260329-164943	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	100	0.04489536997	0.05535365491	0.06288180572	0.05717788877	0
dropout_ablation	GATA1	with_atac_dropout	with atac dropout	hic2_warmstart_with_atac_dropout	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	100	0.0720119842	0.08913733246	0.1035056711	0.09549752864	1
key_baseline	GATA1	best_no_dropout_finetune	best no-dropout fine-tune	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	100	0.09133405104	0.1143979647	0.1358626978	0.1336910013	2
reference_control	GATA1	base_only_gata1	base-only GATA1	base_only_gata1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260502_analysis/hic2_to_gata1_transfer_bcl11a_pearson_50_100_200_1000.csv	100		0.2485250585			3
reference_control	GATA1	official_gata1	official GATA1	official_gata1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260502_analysis/hic2_to_gata1_transfer_bcl11a_pearson_50_100_200_1000.csv	100		0.3243675996			4
dropout_ablation	HIC2	early_no_atac_dropout	early no atac dropout	hic2_warmstart_no_atac_dropout/20260329-164943	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	100	0.130956254	0.1769756131	0.223395389	0.2901507467	0
dropout_ablation	HIC2	with_atac_dropout	with atac dropout	hic2_warmstart_with_atac_dropout	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	100	0.1316744798	0.1774599133	0.2238441941	0.2900822044	1
key_baseline	HIC2	best_no_dropout_finetune	best no-dropout fine-tune	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	100	0.139371604	0.1870338086	0.2356599992	0.3032210936	2
