target	comparison	display_label	plot_label	plot_order	source_table	label	pearson_50bp	pearson_100bp	pearson_200bp	pearson_1000bp
GATA1	early_no_atac_dropout	Early no-dropout	GATA1 - Early no-dropout	0	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	hic2_warmstart_no_atac_dropout/20260329-164943	0.04489536997	0.05535365491	0.06288180572	0.05717788877
GATA1	with_atac_dropout	ATAC dropout	GATA1 - ATAC dropout	1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	hic2_warmstart_no_atac_dropout/hic2_warmstart_with_atac_dropout/20260328-230921	0.0720119842	0.08913733246	0.1035056711	0.09549752864
GATA1	best_no_dropout	Best non-dropout	GATA1 - Best non-dropout	2	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209	0.09133405104	0.1143979647	0.1358626978	0.1336910013
HIC2	early_no_atac_dropout	Early no-dropout	HIC2 - Early no-dropout	0	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	hic2_warmstart_no_atac_dropout/20260329-164943	0.130956254	0.1769756131	0.223395389	0.2901507467
HIC2	with_atac_dropout	ATAC dropout	HIC2 - ATAC dropout	1	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	hic2_warmstart_no_atac_dropout/hic2_warmstart_with_atac_dropout/20260328-230921	0.1316744798	0.1774599133	0.2238441941	0.2900822044
HIC2	best_no_dropout	Best non-dropout	HIC2 - Best non-dropout	2	/broad/boxialab/sihengtao/projects/chromnitron_finetune/20260503_analysis/finetune_prediction_bcl11a_pearson_all/all_finetune_prediction_bcl11a_pearson_wide.tsv	hic2_loss_weighted_multiscale_pearsonon_r4_base_lr3em4_5ep/20260425-184209	0.139371604	0.1870338086	0.2356599992	0.3032210936
