track	n_bases	raw_min	raw_max	processed_min	processed_max	processed_mean	processed_p99	processed_bases_gt_1	missing_or_nonfinite_set_to_zero	negative_values_clipped_to_zero	written_intervals_after_run_length_encoding
HIC2_ground_truth_ChIP	1000000	-1.5587334632873535	1.013756275177002	0.0	0.7000017762184143	0.03776931017637253	0.34039488434791565	0	0	214763	26591
ATAC	1000000	-0.028941160067915916	12.991486549377441	0.0	2.63844895362854	0.035008907318115234	0.3677832782268524	1850	0	856619	17620
